id,gm_time_s,extend_g_time_s
7095,0.0033,0.0027
7096,0.0035,0.003
7097,0.0035,0.003
7098,0.0027,0.0023
7099,0.0025,0.0021
7100,0.0029,0.0025
7101,0.0043,0.0033
7102,0.003,0.0026
7103,0.0038,0.0033
7104,0.0046,0.004
7105,0.003,0.0031
7106,0.0023,0.0019
7107,0.0021,0.0019
7108,0.0031,0.0026
7109,0.0017,0.0015
7110,0.0023,0.0019
7111,0.0018,0.0016
7112,0.003,0.0025
7113,0.0037,0.0032
7114,0.0034,0.0031
7115,0.0027,0.0024
7116,0.0039,0.003
7117,0.004,0.0034
7118,0.0032,0.0028
7119,0.0021,0.0018
7120,0.0038,0.0037
7121,0.0035,0.003
7122,0.004,0.0035
7123,0.0032,0.0028
7124,0.002,0.0017
7125,0.0045,0.0035
7126,0.0044,0.0037
7127,0.0016,0.0014
7128,0.006,0.0046
7129,0.0023,0.0019
7130,0.0031,0.0025
7131,0.0036,0.003
7132,0.004,0.0041
7133,0.0038,0.0032
7134,0.0034,0.0029
7135,0.0031,0.0026
7136,0.0043,0.0037
7137,0.003,0.0026
7138,0.0061,0.0053
7139,0.0015,0.0013
7140,0.0049,0.0035
7141,0.0029,0.0026
7142,0.0052,0.0045
7143,0.0036,0.0037
7144,0.0022,0.0019
7145,0.0021,0.0018
7146,0.0026,0.0022
7147,0.0029,0.0024
7148,0.0046,0.004
7149,0.004,0.0035
7150,0.0037,0.0032
7151,0.0032,0.0027
7152,0.0032,0.0027
7153,0.0068,0.0052
7154,0.0037,0.0031
7155,0.0034,0.0034
7156,0.0025,0.0021
7157,0.0024,0.0021
7158,0.0048,0.0042
7159,0.004,0.0034
7160,0.0027,0.0023
7161,0.003,0.0025
7162,0.0041,0.0035
7163,0.0015,0.0012
7164,0.0034,0.0029
7165,0.006,0.0046
7166,0.0043,0.0037
7167,0.0027,0.0028
7168,0.0035,0.003
7169,0.0018,0.0015
7170,0.0025,0.0022
7171,0.0023,0.0019
7172,0.0045,0.0039
7173,0.0038,0.0032
7174,0.0037,0.0032
7175,0.003,0.0025
7176,0.003,0.0025
7177,0.0023,0.0019
7178,0.003,0.0026
7179,0.0052,0.0039
7180,0.0029,0.0024
7181,0.0028,0.0031
7182,0.0038,0.0033
7183,0.0028,0.0024
7184,0.0023,0.0021
7185,0.005,0.0045
7186,0.0032,0.0028
7187,0.0019,0.0017
7188,0.0035,0.0031
7189,0.0034,0.0034
7190,0.0032,0.0029
7191,0.0045,0.0041
7192,0.0058,0.0051
7193,0.0027,0.0023
7194,0.0061,0.0052
7195,0.0031,0.0027
7196,0.004,0.0034
7197,0.0033,0.0029
7198,0.0031,0.0026
7199,0.0023,0.002
7200,0.002,0.0017
7201,0.0042,0.0037
7202,0.0035,0.003
7203,0.0055,0.0039
7204,0.0041,0.0041
7205,0.0018,0.0015
7206,0.003,0.0026
7207,0.0021,0.0018
7208,0.0031,0.0027
7209,0.0021,0.0018
7210,0.002,0.0017
7211,0.0027,0.0022
7212,0.0039,0.0034
7213,0.0031,0.0027
7214,0.0032,0.0027
7215,0.0028,0.0026
7216,0.0038,0.0032
7217,0.0026,0.0022
7218,0.0034,0.0023
7219,0.0023,0.0024
7220,0.0034,0.0029
7221,0.0056,0.0049
7222,0.0038,0.0034
7223,0.0024,0.002
7224,0.0035,0.003
7225,0.0039,0.0033
7226,0.003,0.0025
7227,0.0035,0.003
7228,0.0023,0.002
7229,0.0022,0.0018
7230,0.0035,0.0022
7231,0.002,0.0018
7232,0.0031,0.0032
7233,0.0036,0.0031
7234,0.0033,0.0029
7235,0.0046,0.0039
7236,0.0033,0.0028
7237,0.0034,0.0029
7238,0.0022,0.0019
7239,0.0031,0.0026
7240,0.002,0.0017
7241,0.0027,0.0023
7242,0.0048,0.0041
7243,0.0021,0.0018
7244,0.0034,0.0022
7245,0.0027,0.0023
7246,0.0033,0.0034
7247,0.003,0.0026
7248,0.002,0.0017
7249,0.0037,0.0031
7250,0.0021,0.0018
7251,0.0043,0.0037
7252,0.004,0.0034
7253,0.0046,0.004
7254,0.0027,0.0023
7255,0.0043,0.0037
7256,0.0034,0.003
7257,0.004,0.0028
7258,0.003,0.0032
7259,0.0023,0.002
7260,0.0029,0.0026
7261,0.0025,0.0022
7262,0.0025,0.0022
7263,0.0034,0.0029
7264,0.005,0.0044
7265,0.0026,0.0022
7266,0.0038,0.0033
7267,0.0021,0.0018
7268,0.0024,0.002
7269,0.002,0.0017
7270,0.002,0.0018
7271,0.0038,0.0033
7272,0.0046,0.0041
7273,0.0023,0.002
7274,0.0019,0.0016
7275,0.0047,0.0043
7276,0.0035,0.0032
7277,0.0045,0.0041
7278,0.0038,0.0034
7279,0.0024,0.0022
7280,0.003,0.0026
7281,0.0039,0.0035
7282,0.0045,0.0038
7283,0.0031,0.0027
7284,0.0044,0.0037
7285,0.0259,0.0032
7286,0.0033,0.0028
7287,0.0038,0.0033
7288,0.0038,0.0032
7289,0.0021,0.0018
7290,0.004,0.0034
7291,0.003,0.0025
7292,0.0032,0.0027
7293,0.0019,0.0016
7294,0.0062,0.0054
7295,0.0036,0.0031
7296,0.0033,0.0036
7297,0.0043,0.0031
7298,0.002,0.0016
7299,0.0034,0.0028
7300,0.0049,0.0042
7301,0.0035,0.0031
7302,0.0027,0.0024
7303,0.0039,0.0034
7304,0.0031,0.0028
7305,0.0023,0.0019
7306,0.0027,0.0022
7307,0.002,0.0018
7308,0.0025,0.002
7309,0.0024,0.0019
7310,0.0044,0.0045
7311,0.005,0.0037
7312,0.0019,0.0015
7313,0.0042,0.0038
7314,0.0031,0.0028
7315,0.0027,0.0023
7316,0.0024,0.0021
7317,0.0031,0.0026
7318,0.0025,0.0022
7319,0.0031,0.0027
7320,0.0023,0.0019
7321,0.003,0.0026
7322,0.0021,0.0018
7323,0.0028,0.003
7324,0.0028,0.0024
7325,0.0043,0.0033
7326,0.0032,0.0027
7327,0.0035,0.0031
7328,0.0017,0.0015
7329,0.0049,0.0044
7330,0.0031,0.0026
7331,0.002,0.0018
7332,0.0041,0.0035
7333,0.004,0.0035
7334,0.0043,0.0037
7335,0.0034,0.0036
7336,0.0025,0.0021
7337,0.0044,0.0032
7338,0.0038,0.0033
