id,gm_time_s,extend_time_s,extend_g_time_s,ilp_time_s,syn_time_s
2789,0.0052,0.0056,0.0046,5.2555,0.0035
2790,0.0026,0.002,0.0023,0.2146,0.0025
2791,0.0044,0.004,0.0038,2.3711,0.0029
2792,0.0019,0.0014,0.0017,0.1497,0.0014
2793,0.0027,0.0021,0.0024,0.3627,0.002
2794,0.0055,0.0044,0.0041,2.0168,0.0031
2795,0.005,0.005,0.0043,3.9572,0.0032
2796,0.0032,0.0025,0.0028,0.7041,0.0023
2797,0.0038,0.0039,0.0032,0.5923,0.0027
2798,0.0028,0.0022,0.0032,0.4534,0.002
2799,0.0035,0.0028,0.003,0.8734,0.0025
2800,0.0018,0.0014,0.0015,0.0968,0.0014
2801,0.0043,0.0039,0.0038,0.9903,0.003
2802,0.0044,0.004,0.0038,3.1258,0.003
2803,0.0051,0.0049,0.0044,4.0346,0.0034
2804,0.0034,0.0029,0.0029,0.7818,0.0023
2805,0.0041,0.0024,0.0027,0.4485,0.0021
2806,0.0042,0.0038,0.0037,1.4265,0.0029
